id,sentence_raw,sentence_clean,e1,e2,relation_full,relation_type,relation_direction,comment
108,"From the Scots (Lingle) and French (Ligneul, Lignoul), comes a <e1>shoemaker</e1>'s sewing <e2>thread</e2>, waxed and bristled (See Waxed End).","From the Scots (Lingle) and French (Ligneul, Lignoul), comes a shoemaker's sewing thread, waxed and bristled (See Waxed End).",shoemaker,thread,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
109,One <e1>tablet</e1> per quart was dropped into a <e2>canteen</e2> and made the water safe to drink.,One tablet per quart was dropped into a canteen and made the water safe to drink.,tablet,canteen,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
110,"The tiny <e1>image</e1> of the Renaissance master is hidden in a <e2>carafe</e2> of wine in his 1597 oil painting Bacchus, one of his most acclaimed works.","The tiny image of the Renaissance master is hidden in a carafe of wine in his 1597 oil painting Bacchus, one of his most acclaimed works.",image,carafe,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example
111,"Then I swept up the dust, which looked like sawdust, and put it in a <e1>plastic container</e1>, which was in a <e2>cabinet</e2> under the granite counter top.","Then I swept up the dust, which looked like sawdust, and put it in a plastic container, which was in a cabinet under the granite counter top.",plastic container,cabinet,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example
112,In the former method the <e1>acetone</e1> was distilled from an allraline <e2>solution</e2> after the excess oxidant had been destroyed with sodium.,In the former method the acetone was distilled from an allraline solution after the excess oxidant had been destroyed with sodium.,acetone,solution,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
113,"In this comprehensive <e1>guide</e1>, over 850 <e2>roses</e2> are described, illustrated, and arranged by group.","In this comprehensive guide, over 850 roses are described, illustrated, and arranged by group.",guide,roses,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",We can assume that the roses are the topic of the guide.
114,<e1>Chestnut</e1> <e2>flour</e2> was more common than wheat flour in the Italian Alps a century ago.,Chestnut flour was more common than wheat flour in the Italian Alps a century ago.,Chestnut,flour,"Entity-Origin(e2,e1)",Entity-Origin,"e2,e1",
115,For us the term <e1>artists</e1>' <e2>book</e2> simply means a book made by an artist; a book made as a work of art rather than as a literary artifact.,For us the term artists' book simply means a book made by an artist; a book made as a work of art rather than as a literary artifact.,artists,book,"Product-Producer(e2,e1)",Product-Producer,"e2,e1","(a), (d) satisfied"
116,My parents bought her a <e1>silver</e1> <e2>necklace</e2> almost identical to the one pictured.,My parents bought her a silver necklace almost identical to the one pictured.,silver,necklace,Other,Other,none,
117,Forward <e1>motion</e1> of the vehicle through the air caused a <e2>suction</e2> on the road draft tube.,Forward motion of the vehicle through the air caused a suction on the road draft tube.,motion,suction,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
118,"Paul Friedrich guides us through a <e1>babel</e1> of <e2>words</e2>, and worlds of the imagination ranging from his translations from five languages(notably the Russian of his literary studies) to the poetry of the Indian Mexico of his anthropological field work to America writ large -- super highways, a Vermont farm, father and child.","Paul Friedrich guides us through a babel of words, and worlds of the imagination ranging from his translations from five languages(notably the Russian of his literary studies) to the poetry of the Indian Mexico of his anthropological field work to America writ large -- super highways, a Vermont farm, father and child.",babel,words,Other,Other,none,Webster says: babel: 2 often not capitalized a: a confusion of sounds or voices b: a scene of noise or confusion --- so not a set.
119,The picture below shows a view chapel and west range of the inner <e1>courtyard</e1> of the <e2>castle</e2>.,The picture below shows a view chapel and west range of the inner courtyard of the castle.,courtyard,castle,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
120,I was attacked by a <e1>flock</e1> of <e2>pigeons</e2> today.,I was attacked by a flock of pigeons today.,flock,pigeons,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
121,That <e1>decision</e1> was also the subject of an unsuccessful <e2>legal challenge</e2>.,That decision was also the subject of an unsuccessful legal challenge.,decision,legal challenge,Other,Other,none,"""legal challenge"" is not a Message"
122,The exit temperature of an effluent <e1>stream</e1> from the low temperature steam reforming <e2>reactor</e2> is not higher than 600 C.,The exit temperature of an effluent stream from the low temperature steam reforming reactor is not higher than 600 C.,stream,reactor,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
123,Individual <e1>investors</e1> moved into the <e2>property</e2>.,Individual investors moved into the property.,investors,property,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
124,One of the trickiest <e1>questions</e1> to answer in an interview relates to <e2>salary</e2>.,One of the trickiest questions to answer in an interview relates to salary.,questions,salary,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",questions are Messages; (b) is satisfied
125,This <e1>tradition</e1> has been narrated in prophet's early <e2>biographies</e2>.,This tradition has been narrated in prophet's early biographies.,tradition,biographies,"Message-Topic(e2,e1)",Message-Topic,"e2,e1",
126,A <e1>thief</e1> who tried to steal the truck broke the igenition with <e2>screwdriver</e2>.,A thief who tried to steal the truck broke the igenition with screwdriver.,thief,screwdriver,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
127,"After the Marian reforms the Legion was notionally a <e1>unit</e1> of heavy <e2>infantrymen</e2> armed with just sword and pilum, but even so it was normally fielded with attached auxiliary skirmishers and missile troops, and incorporated a small cavalry unit.","After the Marian reforms the Legion was notionally a unit of heavy infantrymen armed with just sword and pilum, but even so it was normally fielded with attached auxiliary skirmishers and missile troops, and incorporated a small cavalry unit.",unit,infantrymen,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
128,The prosecutors carried <e1>guns</e1> into the <e2>court room</e2>.,The prosecutors carried guns into the court room.,guns,court room,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
129,"The <e1>malfunctions</e1> on Monday caused <e2>delays</e2> for patrons waiting to check out or renew books at the branches, and impeded access to personal accounts that allow users to renew or hold books online.","The malfunctions on Monday caused delays for patrons waiting to check out or renew books at the branches, and impeded access to personal accounts that allow users to renew or hold books online.",malfunctions,delays,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
130,<e1>Chemical weapons</e1> have been dropped into the <e2>lake</e2>.,Chemical weapons have been dropped into the lake.,Chemical weapons,lake,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
131,Many other <e1>dwarves</e1> also hailed from this infamous <e2>clan</e2>.,Many other dwarves also hailed from this infamous clan.,dwarves,clan,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
132,The <e1>nose</e1> of a <e2>bloodhound</e2> is so good that evidence found by a bloodhound will hold up in matters involving the United States Supreme Court.,The nose of a bloodhound is so good that evidence found by a bloodhound will hold up in matters involving the United States Supreme Court.,nose,bloodhound,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
133,Global digital music sales grow as the music <e1>industry</e1> develops new business <e2>models</e2>.,Global digital music sales grow as the music industry develops new business models.,industry,models,"Product-Producer(e2,e1)",Product-Producer,"e2,e1","(a) is satisfied, model is a creative work"
134,"The <e1>devices</e1> were manufactured at the <e2>factory</e2> in Beaverton well into the 1980s, when production was shifted elsewhere and portions of the factory sold.","The devices were manufactured at the factory in Beaverton well into the 1980s, when production was shifted elsewhere and portions of the factory sold.",devices,factory,"Product-Producer(e1,e2)",Product-Producer,"e1,e2",(a) is satisfied
135,"An expensive uniform and a strict ballot rendered it somewhat too exclusive in its character, but in the end it answered its purpose by becoming practically a <e1>muster</e1> of the National <e2>leaders</e2> of the present and the future.","An expensive uniform and a strict ballot rendered it somewhat too exclusive in its character, but in the end it answered its purpose by becoming practically a muster of the National leaders of the present and the future.",muster,leaders,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",A muster is a gathering.
136,The <e1>train ride</e1> from <e2>station</e2> to station is approximate 30 minutes.,The train ride from station to station is approximate 30 minutes.,train ride,station,Other,Other,none,
137,The archaeological site yields <e1>relics</e1> from long-forgotten <e2>culture</e2>.,The archaeological site yields relics from long-forgotten culture.,relics,culture,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
138,A <e1>maze</e1> of interlocking <e2>jurisdictions</e2> and levels of government confronts average citizens in trying to solve even the simplest of problems.,A maze of interlocking jurisdictions and levels of government confronts average citizens in trying to solve even the simplest of problems.,maze,jurisdictions,Other,Other,none,"This definitely is not a set: it is a pattern, an arrangement."
139,"Water <e1>damage</e1> from roof leaks, plumbing leaks or flooding lead to the <e2>growth</e2> of molds.","Water damage from roof leaks, plumbing leaks or flooding lead to the growth of molds.",damage,growth,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
140,"Warm weather is here, and with it comes the <e1>scourge</e1> of <e2>mosquitoes</e2>.","Warm weather is here, and with it comes the scourge of mosquitoes.",scourge,mosquitoes,Other,Other,none,"Like infestation, it is not a set."
141,"The <e1>formation</e1> of struvite <e2>stones</e2> is associated with the presence of urea-splitting bacteria, most commonly Proteus mirabilis (but also Klebsiella, Serratia, Providencia species).","The formation of struvite stones is associated with the presence of urea-splitting bacteria, most commonly Proteus mirabilis (but also Klebsiella, Serratia, Providencia species).",formation,stones,Other,Other,none,A process.
142,"Our army was successfully engaged during the day with strong rearguards of all arms on the Petit Morin River, thereby materially assisting the progress of the French armies on our right and left, against whom the <e1>enemy</e1> was making his greatest <e2>efforts</e2>.","Our army was successfully engaged during the day with strong rearguards of all arms on the Petit Morin River, thereby materially assisting the progress of the French armies on our right and left, against whom the enemy was making his greatest efforts.",enemy,efforts,Other,Other,none,Effort is not a concrete object.
